"检验员","响应","样本","试验","标准"
"Britt",4,7,2,4
"Britt",5,8,1,5
"Britt",5,8,2,5
"Britt",2,9,1,2
"Britt",2,9,2,2
"Britt",1,10,1,1
"Britt",1,10,2,1
"Britt",5,11,1,5
"Britt",5,11,2,5
"Britt",4,12,1,4
"Britt",4,12,2,4
"Britt",1,13,1,1
"Britt",1,13,2,1
"Britt",3,14,1,3
"Britt",3,14,2,3
"Britt",2,15,1,2
"Britt",2,15,2,2
"Britt",4,16,1,4
"Britt",4,16,2,4
"Britt",1,17,1,1
"Britt",1,17,2,1
"Britt",2,18,1,2
"Britt",3,18,2,2
"Britt",3,19,1,3
"Britt",3,19,2,3
"Britt",5,20,1,5
"Britt",5,20,2,5
"Britt",5,21,1,5
"Britt",5,21,2,5
"Britt",4,22,1,4
"Britt",4,22,2,4
"Britt",3,23,1,3
"Britt",3,23,2,3
"Britt",2,24,1,2
"Britt",2,24,2,2
"Britt",2,25,1,2
"Britt",2,25,2,2
"Britt",4,26,1,4
"Britt",4,26,2,4
"Britt",1,27,1,1
"Britt",1,27,2,1
"Britt",2,28,1,2
"Britt",2,28,2,2
"Britt",5,29,1,5
"Britt",5,29,2,5
"Britt",3,30,1,3
"Britt",3,30,2,3
"Britt",5,31,1,5
"Britt",5,31,2,5
"Britt",2,32,1,2
"Britt",3,32,2,2
"Britt",1,33,1,1
"Britt",1,33,2,1
"Britt",2,34,1,3
"Britt",2,34,2,3
"Britt",1,35,1,1
"Britt",1,35,2,1
"Britt",2,36,1,2
"Britt",2,36,2,2
"Britt",5,37,1,5
"Britt",5,37,2,5
"Britt",4,38,1,4
"Britt",4,38,2,4
"Britt",2,39,1,2
"Britt",2,39,2,2
"Britt",3,40,1,3
"Britt",3,40,2,3
"Britt",1,41,1,1
"Britt",1,41,2,1
"Britt",2,42,1,2
"Britt",2,42,2,2
"Britt",2,43,1,2
"Britt",2,43,2,2
"Britt",3,44,1,3
"Britt",3,44,2,3
"Britt",3,45,1,3
"Britt",3,45,2,3
"Britt",5,46,1,5
"Britt",5,46,2,5
"Britt",4,47,1,4
"Britt",4,47,2,4
"Britt",5,48,1,5
"Britt",5,48,2,5
"Britt",4,49,1,4
"Britt",4,49,2,4
"Britt",1,50,1,1
"Britt",1,50,2,1
